Equipo_Local,Equipo_Visitante,Cuota_Local,Cuota_Visitante,Resultado
Porto,Malmö,41,59,2
Shakhtar Donetsk,Juventus,5,95,3
Ajax,Atlanta,22,78,1
Shakhtar Donetsk,Internazionale,17,83,2
Leipzig,Club Brugge,12,88,2
Dortmund,Man. City,30,70,1
Porto,Liverpool,81,19,1
Bayern,LOSC,12,88,2
Liverpool,Real Madrid,92,8,2
Shakhtar Donetsk,Milan,46,54,2
Bayern,Benfica,25,75,2
Liverpool,Milan,76,24,3
Shakhtar Donetsk,Benfica,75,25,1
Man. City,Atlanta,0,100,3
Porto,Sheriff,90,10,3
Young Boys,Sporting CP,77,23,2
Bensiktas,LOSC,25,75,2
Benfica,Sheriff,78,22,1
Villareal,Salzburg,41,59,3
Porto,Man. United,48,52,2
Young Boys,Juventus,78,22,3
LOSC,Juventus,71,29,2
Dynamo,Paris,34,66,1
Bensiktas,Internazionale,43,57,2
Dortmund,Malmö,68,32,2
Sevilla,Man. United,3,97,3
Villareal,Leipzig,35,65,3
Salzburg,Barcelona,32,68,3
Liverpool,Barcelona,41,59,3
Young Boys,Dortmund,75,25,2
Shakhtar Donetsk,Club Brugge,88,12,2
Milan,Dortmund,26,74,1
LOSC,Dortmund,71,29,2
Chelsea,Ajax,91,9,2
Sporting CP,Dortmund,96,4,2
Paris,Club Brugge,97,3,3
Dortmund,Zenit,6,94,3
Bayern,Young Boys,80,20,3
Ajax,Leipzig,73,27,3
Liverpool,Zenit,75,25,3
Benfica,Barcelona,9,91,1
Dynamo,Atletico,53,47,2
Ajax,Zenit,11,89,3
Real Madrid,Atlanta,73,27,1
Milan,Porto,91,9,2
Bayern,Salzburg,28,72,3
Porto,Benfica,77,23,2
Dortmund,Chelsea,30,70,2
Chelsea,LOSC,61,39,1
Shakhtar Donetsk,Paris,36,64,3
Bayern,Sporting CP,68,32,3
Wolfsburg,Milan,34,66,3
Benfica,Chelsea,46,54,1
Benfica,Man. City,65,35,2
Porto,Sporting CP,60,40,1
Man. City,Salzburg,66,34,2
Milan,Sevilla,11,89,3
Ajax,Dortmund,50,50,3
Benfica,Sheriff,29,71,3
Shakhtar Donetsk,Bayern,55,45,3
Atletico,Villareal,92,8,1
Man. City,Atlanta,86,14,1
Liverpool,Bensiktas,29,71,3
Sporting CP,Man. United,39,61,3
Chelsea,Malmö,51,49,2
Sevilla,Villareal,92,8,2
Wolfsburg,Man. City,73,27,2
Juventus,Young Boys,60,40,1
Atlanta,Barcelona,51,49,3
Zenit,Man. United,72,28,2
Benfica,Man. United,23,77,2
Malmö,Benfica,96,4,1
Zenit,Shakhtar Donetsk,1,99,3
Chelsea,Villareal,41,59,2
Milan,Bensiktas,65,35,2
Barcelona,LOSC,86,14,2
Liverpool,Barcelona,2,98,3
Paris,Porto,76,24,1
Internazionale,Man. City,100,0,3
Leipzig,Club Brugge,18,82,1
Dortmund,Sporting CP,36,64,2
Salzburg,Villareal,15,85,2
Club Brugge,Wolfsburg,36,64,1
Ajax,Sheriff,81,19,2
Bensiktas,Malmö,64,36,2
Sheriff,Barcelona,75,25,3
Shakhtar Donetsk,Ajax,1,99,3
Juventus,Sporting CP,91,9,2
Internazionale,Man. United,37,63,2
Internazionale,Man. United,100,0,3
Dortmund,LOSC,77,23,2
Wolfsburg,Barcelona,86,14,2
LOSC,Sevilla,36,64,3
Ajax,Bensiktas,51,49,1
Man. City,Juventus,50,50,3
LOSC,Internazionale,88,12,2
Sevilla,Paris,15,85,3
Dynamo,Ajax,40,60,3
Porto,Man. City,77,23,1
Internazionale,LOSC,3,97,1
Atlanta,Sporting CP,17,83,3
Internazionale,Atletico,35,65,3
Dynamo,LOSC,79,21,3
Club Brugge,Liverpool,68,32,2
Villareal,Internazionale,41,59,1
Club Brugge,Zenit,30,70,1
Porto,Club Brugge,34,66,3
Sheriff,Liverpool,62,38,3
Malmö,Villareal,97,3,3
Villareal,Club Brugge,70,30,3
Real Madrid,Sevilla,7,93,1
Bensiktas,Atletico,61,39,1
Leipzig,LOSC,0,100,1
Man. City,Porto,66,34,3
Leipzig,Salzburg,54,46,3
Shakhtar Donetsk,Ajax,40,60,2
Man. United,Chelsea,6,94,1
Shakhtar Donetsk,Internazionale,54,46,2
Wolfsburg,Paris,58,42,2
Shakhtar Donetsk,Liverpool,53,47,1
Liverpool,Villareal,68,32,3
Sheriff,Club Brugge,71,29,3
Juventus,Malmö,46,54,3
Shakhtar Donetsk,Porto,44,56,3
Young Boys,LOSC,22,78,3
Bensiktas,Atlanta,67,33,2
Zenit,Dortmund,65,35,3
Milan,Sevilla,47,53,1
Shakhtar Donetsk,Salzburg,42,58,1
Man. United,Sevilla,78,22,2
Leipzig,Bayern,18,82,3
Ajax,Milan,96,4,1
Real Madrid,Juventus,29,71,2
LOSC,Benfica,97,3,2
Man. United,Young Boys,75,25,3
Malmö,Young Boys,36,64,2
Atlanta,Zenit,0,100,1
Man. City,Salzburg,49,51,2
Atlanta,Sevilla,18,82,1
Sheriff,Salzburg,83,17,3
Sporting CP,Juventus,39,61,3
Real Madrid,Young Boys,28,72,2
Bayern,Salzburg,12,88,3
Dynamo,Internazionale,86,14,2
Shakhtar Donetsk,Young Boys,100,0,2
Real Madrid,Zenit,96,4,3
Bensiktas,Man. City,53,47,2
Malmö,Leipzig,49,51,2
Man. United,Wolfsburg,50,50,2
Sporting CP,Wolfsburg,76,24,3
Juventus,Paris,38,62,1
Man. United,LOSC,82,18,3
LOSC,Young Boys,64,36,1
Man. United,Dynamo,92,8,2
Chelsea,Sheriff,29,71,3
Dynamo,Juventus,61,39,1
Internazionale,Milan,35,65,3
Atletico,Leipzig,5,95,3
Barcelona,Club Brugge,43,57,2
Benfica,Dortmund,97,3,1
Barcelona,Sevilla,54,46,3
Internazionale,Sevilla,60,40,1
Real Madrid,Leipzig,95,5,1
Sporting CP,Malmö,5,95,1
Paris,Dynamo,92,8,1
Man. City,Bensiktas,84,16,1
Sporting CP,Sheriff,40,60,3
Real Madrid,Paris,74,26,1
Club Brugge,Porto,76,24,3
Ajax,Milan,94,6,3
Leipzig,Sporting CP,28,72,3
Atletico,Shakhtar Donetsk,98,2,2
LOSC,Malmö,83,17,1
Salzburg,Barcelona,81,19,3
Paris,Atlanta,77,23,3
Bayern,Sporting CP,11,89,3
Sporting CP,Atletico,2,98,2
Club Brugge,Bayern,15,85,1
Liverpool,Shakhtar Donetsk,94,6,3
Salzburg,Dynamo,53,47,1
Ajax,Club Brugge,98,2,2
Young Boys,Atlanta,26,74,2
Dortmund,Salzburg,60,40,2
Dynamo,Club Brugge,8,92,2
Man. United,Sheriff,15,85,3
Dynamo,Sevilla,62,38,3
Chelsea,Man. City,41,59,2
Villareal,Bayern,6,94,3
Juventus,Zenit,82,18,1
Internazionale,Wolfsburg,66,34,1
Dortmund,Benfica,90,10,3
Young Boys,Salzburg,64,36,1
Porto,Atlanta,7,93,3
Real Madrid,Sporting CP,32,68,1
Zenit,Sporting CP,24,76,3
Real Madrid,Dortmund,85,15,1
Benfica,Young Boys,28,72,1
Bayern,Malmö,76,24,3
Wolfsburg,Man. City,3,97,1
Paris,Benfica,71,29,1
Zenit,Leipzig,46,54,2
Malmö,Chelsea,44,56,1
Bayern,Young Boys,2,98,3
Bayern,Chelsea,46,54,2
Man. United,Barcelona,47,53,1
Dortmund,Sheriff,48,52,1
LOSC,Porto,74,26,1
Malmö,Juventus,33,67,3
Chelsea,Porto,99,1,1
Milan,Man. City,26,74,2
Bensiktas,Club Brugge,88,12,1
Juventus,Club Brugge,4,96,2
Liverpool,Sevilla,15,85,1
Man. United,Salzburg,58,42,2
Malmö,Porto,79,21,1
Milan,Club Brugge,96,4,2
Atletico,Zenit,44,56,1
Leipzig,Salzburg,81,19,2
Paris,Man. City,77,23,3
Sheriff,Paris,11,89,3
Chelsea,Young Boys,35,65,3
Man. City,Atletico,52,48,1
LOSC,Benfica,7,93,1
Man. United,Atletico,41,59,3
Young Boys,Liverpool,81,19,2
Leipzig,Club Brugge,29,71,3
Dynamo,Internazionale,81,19,1
Malmö,Sevilla,43,57,3
Sporting CP,Ajax,91,9,1
Bayern,Atletico,79,21,1
Chelsea,Barcelona,82,18,1
Porto,Malmö,34,66,1
Liverpool,Salzburg,70,30,3
Atletico,Sheriff,24,76,2
Juventus,Barcelona,29,71,1
Shakhtar Donetsk,Paris,6,94,1
Porto,Atlanta,5,95,2
Sporting CP,Sevilla,24,76,3
Sevilla,Barcelona,63,37,1
Barcelona,Man. United,66,34,3
Benfica,Salzburg,20,80,1
Salzburg,Club Brugge,67,33,1
Wolfsburg,Chelsea,6,94,3
Malmö,Sporting CP,94,6,3
Real Madrid,Chelsea,4,96,1
Atlanta,Man. United,89,11,1
Dortmund,Milan,13,87,3
Chelsea,Man. City,63,37,2
Wolfsburg,Internazionale,49,51,3
LOSC,Porto,31,69,2
Leipzig,Club Brugge,92,8,2
Villareal,Dortmund,60,40,2
Man. United,Atletico,22,78,3
Man. United,Wolfsburg,11,89,3
Milan,Malmö,57,43,3
Dortmund,Leipzig,23,77,3
Dynamo,Internazionale,45,55,3
Sporting CP,Atlanta,95,5,1
Barcelona,LOSC,91,9,2
Juventus,Man. City,11,89,3
Juventus,Sheriff,62,38,1
Dynamo,Man. United,46,54,2
Ajax,Leipzig,39,61,3
Man. City,Benfica,72,28,3
Malmö,Dortmund,49,51,3
Porto,Wolfsburg,90,10,3
Man. City,Atlanta,21,79,3
LOSC,Salzburg,43,57,1
Zenit,Liverpool,92,8,2
Atlanta,Dortmund,42,58,3
Leipzig,Benfica,4,96,3
Man. United,Ajax,19,81,1
LOSC,Zenit,9,91,3
Club Brugge,Villareal,84,16,2
Zenit,Liverpool,76,24,1
Leipzig,Porto,23,77,2
Chelsea,Ajax,98,2,3
LOSC,Porto,95,5,1
Bayern,Wolfsburg,93,7,2
Barcelona,Bensiktas,9,91,3
Juventus,Dortmund,86,14,3
Wolfsburg,Man. City,1,99,1
Porto,Paris,95,5,1
Liverpool,Paris,44,56,3
Liverpool,Internazionale,65,35,2
Young Boys,Paris,63,37,2
Salzburg,Atletico,12,88,1
Leipzig,Club Brugge,70,30,1
Internazionale,Zenit,92,8,1
Ajax,Liverpool,94,6,3
Shakhtar Donetsk,Ajax,19,81,3
Chelsea,Atlanta,60,40,1
Wolfsburg,Milan,71,29,2
Malmö,Man. City,89,11,3
Liverpool,Dortmund,17,83,3
Zenit,Man. City,26,74,3
Sheriff,Real Madrid,83,17,3
Atletico,Bensiktas,10,90,2
Man. City,Internazionale,52,48,3
Ajax,Malmö,51,49,3
Club Brugge,Shakhtar Donetsk,61,39,2
Benfica,Internazionale,68,32,2
Leipzig,Barcelona,66,34,3
LOSC,Internazionale,3,97,1
Barcelona,Paris,44,56,2
Ajax,Atletico,60,40,2
Dynamo,Benfica,85,15,3
Salzburg,Chelsea,38,62,1
Juventus,Barcelona,35,65,2
Club Brugge,Malmö,46,54,2
Benfica,Bensiktas,98,2,1
Bensiktas,Ajax,54,46,2
Wolfsburg,Sporting CP,19,81,3
Benfica,Dortmund,48,52,2
Wolfsburg,Real Madrid,28,72,2
Salzburg,Club Brugge,71,29,1
Atlanta,Man. City,63,37,3
Wolfsburg,Porto,54,46,1
Juventus,Dortmund,9,91,3
Man. United,Sheriff,49,51,3
Malmö,Sevilla,80,20,3
Man. United,Wolfsburg,77,23,1
Bayern,Juventus,62,38,3
Bensiktas,Young Boys,31,69,1
Real Madrid,Sheriff,54,46,1
LOSC,Bensiktas,84,16,1
Real Madrid,Sporting CP,93,7,3
Young Boys,Milan,5,95,1
Zenit,Barcelona,54,46,2
Man. City,Dynamo,56,44,1
Atletico,Sporting CP,63,37,2
Atletico,Barcelona,25,75,2
Ajax,Chelsea,26,74,1
LOSC,Sheriff,19,81,2
Internazionale,Paris,47,53,1
Leipzig,Sporting CP,58,42,1
Wolfsburg,Atletico,40,60,2
Sporting CP,Atlanta,28,72,2
Man. United,Malmö,12,88,2
Real Madrid,Juventus,18,82,3
Young Boys,Sheriff,34,66,1
Dynamo,LOSC,76,24,1
Paris,Porto,53,47,1
Barcelona,Dortmund,94,6,2
Dynamo,Villareal,10,90,2
Sporting CP,Barcelona,10,90,1
Paris,Real Madrid,82,18,1
Bayern,Club Brugge,11,89,3
Internazionale,Dortmund,8,92,2
Salzburg,Man. United,67,33,3
Sheriff,Porto,63,37,2
Sporting CP,Bensiktas,43,57,2
Wolfsburg,Real Madrid,62,38,1
Milan,Ajax,99,1,3
Atlanta,Ajax,11,89,3
Wolfsburg,Dynamo,59,41,1
Salzburg,Man. United,78,22,2
Wolfsburg,Malmö,55,45,3
Man. United,Dynamo,68,32,1
Porto,Villareal,74,26,1
Bensiktas,Sporting CP,32,68,2
Man. United,LOSC,6,94,3
Atletico,Salzburg,74,26,1
Shakhtar Donetsk,Sheriff,95,5,1
Barcelona,Sevilla,77,23,2
Paris,Man. City,77,23,2
Dynamo,Shakhtar Donetsk,61,39,1
Juventus,Milan,65,35,2
Villareal,Paris,8,92,2
Barcelona,Malmö,60,40,2
Paris,Bensiktas,39,61,3
Zenit,Benfica,24,76,3
Sevilla,Bayern,40,60,1
Real Madrid,Bensiktas,35,65,2
Atletico,Internazionale,87,13,3
Juventus,Man. United,62,38,1
Benfica,Malmö,65,35,3
Leipzig,Porto,50,50,3
Salzburg,Paris,79,21,1
Sheriff,Man. City,82,18,3
Milan,LOSC,86,14,2
Man. City,Zenit,73,27,2
Zenit,Paris,23,77,2
Benfica,Liverpool,41,59,3
Club Brugge,Malmö,20,80,2
Paris,Ajax,74,26,3
Atletico,Wolfsburg,22,78,3
Atletico,Sheriff,14,86,1
Zenit,Sevilla,4,96,3
Malmö,Juventus,82,18,1
Man. United,Juventus,16,84,1
Salzburg,Shakhtar Donetsk,70,30,2
Sevilla,Salzburg,86,14,1
Paris,Atletico,78,22,3
Juventus,Internazionale,21,79,2
Man. United,Bayern,16,84,2
Wolfsburg,Porto,50,50,1
Wolfsburg,Malmö,8,92,2
Barcelona,Milan,11,89,2
Wolfsburg,Club Brugge,8,92,2
Internazionale,Benfica,2,98,2
Bayern,Atlanta,13,87,3
Sevilla,LOSC,41,59,3
Salzburg,Bensiktas,22,78,2
Shakhtar Donetsk,Benfica,82,18,1
Bayern,Shakhtar Donetsk,36,64,3
Zenit,Dynamo,14,86,3
Liverpool,Benfica,11,89,2
Milan,Benfica,32,68,3
Real Madrid,Juventus,100,0,3
Man. City,Atlanta,8,92,2
Paris,Villareal,44,56,3
Sevilla,Dortmund,48,52,1
Real Madrid,Club Brugge,21,79,2
Sporting CP,Juventus,78,22,2
Paris,Sheriff,46,54,1
Club Brugge,LOSC,13,87,3
Zenit,Man. United,68,32,3
Young Boys,Chelsea,72,28,2
Liverpool,Chelsea,60,40,2
Dynamo,Leipzig,27,73,1
Ajax,Dynamo,39,61,2
Juventus,Zenit,18,82,1
Malmö,Milan,89,11,2
Dynamo,Zenit,26,74,2
Dortmund,Barcelona,37,63,3
Chelsea,Liverpool,34,66,2
Benfica,Young Boys,86,14,1
Liverpool,Shakhtar Donetsk,100,0,2
Barcelona,Bayern,35,65,3
Atletico,Bayern,2,98,3
Juventus,Man. United,30,70,1
Atletico,Young Boys,25,75,2
Villareal,Sevilla,73,27,3
Zenit,Milan,25,75,3
Club Brugge,Benfica,56,44,2
Villareal,Wolfsburg,88,12,1
Man. City,Porto,62,38,3
Salzburg,Man. United,8,92,3
Internazionale,Juventus,9,91,2
Internazionale,Dynamo,88,12,3
Wolfsburg,Club Brugge,86,14,1
Atlanta,Zenit,84,16,2
Young Boys,Man. City,67,33,2
Bayern,Chelsea,94,6,2
Villareal,Dynamo,34,66,3
Shakhtar Donetsk,Juventus,44,56,1
Milan,Ajax,55,45,3
Sevilla,Atletico,10,90,1
Liverpool,Chelsea,11,89,2
Dynamo,Dortmund,90,10,3
Man. United,Sevilla,12,88,3
Bayern,Sheriff,45,55,1
Internazionale,Benfica,49,51,1
Bensiktas,Porto,95,5,2
Internazionale,Bensiktas,16,84,2
LOSC,Malmö,99,1,1
Benfica,Chelsea,30,70,2
Ajax,Shakhtar Donetsk,70,30,3
Club Brugge,Man. City,10,90,2
Paris,Zenit,34,66,2
Real Madrid,Milan,48,52,1
Dynamo,Benfica,71,29,1
Benfica,LOSC,6,94,3
Paris,Club Brugge,27,73,3
Real Madrid,Man. United,94,6,1
Young Boys,Liverpool,63,37,2
Bensiktas,Porto,62,38,2
Porto,Dortmund,18,82,3
Juventus,Benfica,30,70,2
LOSC,Liverpool,53,47,2
Dortmund,Juventus,54,46,2
Benfica,Zenit,11,89,1
Bensiktas,Benfica,44,56,3
Malmö,Chelsea,21,79,1
Atlanta,Club Brugge,30,70,1
Barcelona,Atlanta,47,53,1
Salzburg,Bensiktas,45,55,1
Juventus,Internazionale,41,59,1
Ajax,Club Brugge,23,77,3
Dortmund,Sporting CP,31,69,2
Juventus,Young Boys,85,15,1
Sheriff,Bayern,6,94,1
Dynamo,Porto,71,29,3
Milan,Porto,54,46,3
Bensiktas,Milan,67,33,2
Porto,Paris,21,79,2
Ajax,Real Madrid,73,27,1
Young Boys,Wolfsburg,22,78,3
Man. City,Dortmund,61,39,1
Juventus,Salzburg,90,10,1
LOSC,Benfica,95,5,3
Internazionale,Dynamo,79,21,2
Dortmund,Villareal,72,28,1
Bayern,Sporting CP,15,85,1
Barcelona,Young Boys,63,37,2
Young Boys,Bensiktas,94,6,2
Club Brugge,Paris,56,44,1
Atlanta,Sporting CP,7,93,1
Dynamo,Man. United,100,0,3
Zenit,Man. City,74,26,2
Young Boys,Bensiktas,22,78,3
Zenit,Chelsea,98,2,1
Internazionale,Salzburg,72,28,2
Zenit,Dortmund,63,37,3
Salzburg,Dortmund,98,2,3
Man. City,Bensiktas,53,47,1
Malmö,Shakhtar Donetsk,43,57,3
Zenit,Chelsea,58,42,2
Bayern,Milan,10,90,1
Villareal,Man. City,38,62,1
Porto,Malmö,92,8,2
LOSC,Milan,85,15,1
Villareal,Milan,51,49,1
Chelsea,Internazionale,88,12,3
Man. United,Bensiktas,13,87,2
Barcelona,Malmö,13,87,2
Zenit,Benfica,95,5,1
Atlanta,Benfica,65,35,3
Man. City,Bensiktas,76,24,2
Real Madrid,Chelsea,60,40,1
Porto,Malmö,59,41,2
Paris,Sporting CP,16,84,3
Barcelona,Malmö,33,67,1
Sheriff,Bayern,13,87,2
Dynamo,Benfica,72,28,3
Dynamo,Malmö,96,4,2
Bensiktas,Wolfsburg,61,39,2
Shakhtar Donetsk,Atletico,41,59,1
Man. United,Paris,76,24,2
Benfica,Milan,23,77,1
Milan,Atletico,42,58,2
Wolfsburg,Internazionale,30,70,2
Sevilla,Wolfsburg,94,6,2
Salzburg,Dortmund,68,32,2
Real Madrid,Malmö,89,11,3
Zenit,Atlanta,51,49,3
Liverpool,Chelsea,11,89,1
Shakhtar Donetsk,Chelsea,97,3,1
Chelsea,Atlanta,98,2,3
Salzburg,Man. City,93,7,1
Real Madrid,Man. United,44,56,1
Atletico,Bensiktas,59,41,1
Sporting CP,Malmö,73,27,3
LOSC,Dortmund,82,18,1
LOSC,Dynamo,79,21,2
Porto,Dortmund,42,58,2
Leipzig,Wolfsburg,53,47,2
Milan,Salzburg,71,29,2
Sporting CP,Sheriff,63,37,2
Bayern,Juventus,2,98,3
Ajax,Liverpool,76,24,3
Man. United,Ajax,49,51,1
Atlanta,Benfica,12,88,3
Man. City,LOSC,73,27,2
Dynamo,Salzburg,46,54,1
Villareal,Chelsea,63,37,3
Chelsea,Man. City,93,7,1
Benfica,Club Brugge,95,5,1
Salzburg,Sporting CP,25,75,1
Villareal,Salzburg,84,16,1
Porto,Benfica,88,12,3
Sheriff,Leipzig,17,83,1
Sporting CP,Atletico,78,22,3
Zenit,Liverpool,11,89,1
Milan,Dortmund,26,74,1
Club Brugge,Wolfsburg,97,3,2
Sporting CP,Bayern,91,9,1
Liverpool,Benfica,5,95,3
Young Boys,Bensiktas,17,83,1
Malmö,Dortmund,4,96,2
LOSC,Malmö,61,39,2
Chelsea,Benfica,39,61,2
Malmö,Leipzig,38,62,1
Sporting CP,Bensiktas,22,78,2
Chelsea,Wolfsburg,90,10,2
Salzburg,Ajax,52,48,1
Benfica,Ajax,80,20,3
Milan,Shakhtar Donetsk,53,47,3
Leipzig,Paris,68,32,2
Chelsea,Real Madrid,88,12,2
Atletico,Young Boys,21,79,1
Barcelona,Salzburg,65,35,1
Sheriff,Sporting CP,81,19,1
Atlanta,Man. United,54,46,1
Liverpool,Man. City,20,80,1
Club Brugge,Sheriff,58,42,1
Sporting CP,Sheriff,26,74,1
Sporting CP,Atletico,30,70,1
Benfica,Malmö,62,38,2
Milan,Juventus,18,82,3
Internazionale,Real Madrid,2,98,1
Ajax,Juventus,61,39,1
Sevilla,Wolfsburg,36,64,2
Atlanta,Bensiktas,32,68,1
Sevilla,Sheriff,87,13,1
Atlanta,Barcelona,82,18,3
Juventus,Bensiktas,79,21,3
Wolfsburg,Juventus,56,44,2
Chelsea,Bensiktas,45,55,3
Sevilla,Dortmund,8,92,3
Sheriff,LOSC,32,68,3
Salzburg,Real Madrid,8,92,2
Internazionale,Wolfsburg,23,77,1
Leipzig,Malmö,58,42,3
Atletico,Chelsea,95,5,2
Malmö,Dortmund,7,93,1
Dortmund,Sheriff,50,50,3
Liverpool,Juventus,28,72,3
Liverpool,Benfica,4,96,2
LOSC,Atlanta,0,100,2
Porto,Bayern,5,95,1
Shakhtar Donetsk,Atlanta,89,11,2
Chelsea,Salzburg,88,12,2
Sporting CP,Barcelona,2,98,2
Juventus,Internazionale,77,23,1
Man. United,Ajax,30,70,1
Man. United,LOSC,90,10,1
Zenit,Bensiktas,78,22,2
Ajax,Club Brugge,20,80,2
Man. City,Dynamo,63,37,1
Malmö,Sheriff,17,83,1
Sevilla,Leipzig,25,75,1
Bayern,Salzburg,37,63,1
Paris,Chelsea,41,59,1
Wolfsburg,Chelsea,84,16,1
Juventus,Malmö,47,53,2
Villareal,Paris,96,4,1
Porto,Bensiktas,98,2,2
Liverpool,Dynamo,26,74,2
Shakhtar Donetsk,Ajax,5,95,1
Malmö,Shakhtar Donetsk,73,27,1
Shakhtar Donetsk,Sevilla,20,80,1
Villareal,Benfica,52,48,1
Internazionale,Sevilla,22,78,1
Club Brugge,Chelsea,68,32,2
Bayern,Man. City,59,41,2
Wolfsburg,Chelsea,81,19,1
Milan,Club Brugge,10,90,2
Bensiktas,Sporting CP,84,16,1
Juventus,Chelsea,7,93,2
Zenit,Bensiktas,18,82,3
Milan,Villareal,51,49,2
Leipzig,Milan,78,22,3
Milan,Atlanta,74,26,3
Atletico,Milan,28,72,2
Sporting CP,Chelsea,88,12,1
Dynamo,Young Boys,79,21,2
Shakhtar Donetsk,Wolfsburg,59,41,3
Sheriff,Ajax,70,30,3
Atlanta,Sporting CP,33,67,3
Man. City,Man. United,27,73,1
LOSC,Club Brugge,10,90,2
Benfica,Zenit,74,26,1
Sporting CP,Atlanta,32,68,3
Juventus,Club Brugge,68,32,2
Atlanta,Zenit,42,58,1
Sheriff,Milan,91,9,2
Ajax,Milan,31,69,3
Sporting CP,Zenit,23,77,3
Ajax,Chelsea,8,92,2
Zenit,Dortmund,45,55,2
Villareal,Benfica,52,48,3
Dortmund,Juventus,92,8,2
LOSC,Barcelona,82,18,2
Atlanta,Internazionale,73,27,2
Benfica,Zenit,84,16,1
Liverpool,Leipzig,52,48,3
Atletico,Sporting CP,37,63,3
Club Brugge,Wolfsburg,18,82,1
Real Madrid,Wolfsburg,14,86,2
Shakhtar Donetsk,Man. City,30,70,3
Salzburg,Man. City,20,80,3
Real Madrid,Man. City,80,20,3
Villareal,Milan,0,100,1
Zenit,Porto,2,98,1
Club Brugge,Shakhtar Donetsk,61,39,2
Club Brugge,Internazionale,14,86,1
Liverpool,Internazionale,77,23,1
Leipzig,Paris,3,97,3
Internazionale,Bensiktas,54,46,3
Liverpool,Paris,60,40,2
Bensiktas,Dortmund,91,9,2
Atlanta,Sheriff,36,64,2
Dynamo,Man. United,12,88,2
Man. City,Sevilla,58,42,3
Dynamo,Real Madrid,19,81,2
Porto,Sevilla,94,6,2
Villareal,Wolfsburg,51,49,2
Milan,Internazionale,52,48,3
Bensiktas,Paris,94,6,1
Bayern,Atletico,61,39,1
Sheriff,Malmö,25,75,2
Club Brugge,Man. City,63,37,3
Atletico,Salzburg,81,19,2
Chelsea,Real Madrid,46,54,1
Man. City,LOSC,39,61,3
Dortmund,Sheriff,83,17,1
Atlanta,Zenit,58,42,2
Salzburg,Benfica,58,42,1
Benfica,Malmö,17,83,3
Chelsea,Paris,82,18,1
Bensiktas,Juventus,48,52,1
Sporting CP,Wolfsburg,99,1,2
Sevilla,Juventus,42,58,3
Juventus,Man. United,28,72,3
Chelsea,Bensiktas,52,48,1
Shakhtar Donetsk,Man. City,31,69,1
Malmö,Sporting CP,76,24,1
Benfica,Wolfsburg,19,81,1
Porto,Dynamo,12,88,3
Barcelona,Man. United,58,42,1
Man. City,Atlanta,26,74,2
Man. United,Zenit,24,76,2
Juventus,Real Madrid,49,51,1
Liverpool,Internazionale,0,100,3
Chelsea,Villareal,13,87,2
Chelsea,Sporting CP,78,22,1
Wolfsburg,Ajax,1,99,3
Sporting CP,Chelsea,11,89,2
Milan,Atlanta,87,13,2
Internazionale,LOSC,72,28,3
Leipzig,Wolfsburg,37,63,2
LOSC,Shakhtar Donetsk,31,69,3
Club Brugge,Zenit,25,75,2
Villareal,Barcelona,56,44,2
Real Madrid,Atletico,6,94,1
Benfica,Sevilla,31,69,3
Real Madrid,Juventus,37,63,2
Bensiktas,Club Brugge,77,23,3
Atlanta,Club Brugge,9,91,1
Shakhtar Donetsk,Real Madrid,56,44,1
Young Boys,Man. United,23,77,1
Porto,Sevilla,47,53,2
LOSC,Porto,45,55,3
Porto,Sevilla,95,5,3
Man. United,Sheriff,42,58,3
Internazionale,Ajax,16,84,2
Real Madrid,Villareal,66,34,2
Club Brugge,Dortmund,56,44,1
Sevilla,Atlanta,45,55,1
Malmö,Benfica,31,69,2
Salzburg,Ajax,40,60,2
Sporting CP,Atletico,21,79,2
Bensiktas,Club Brugge,22,78,3
Juventus,Leipzig,74,26,3
Man. City,Shakhtar Donetsk,13,87,3
Real Madrid,Atletico,75,25,2
Bayern,Sheriff,27,73,3
Porto,Juventus,83,17,2
Villareal,Zenit,62,38,3
Porto,Malmö,100,0,2
Liverpool,Sheriff,79,21,2
Leipzig,Barcelona,6,94,2
Club Brugge,Chelsea,0,100,3
Internazionale,Club Brugge,28,72,2
Internazionale,Villareal,71,29,3
Dynamo,Ajax,83,17,1
Zenit,Ajax,1,99,2
Juventus,Atlanta,92,8,2
Sheriff,Real Madrid,58,42,1
Chelsea,Sporting CP,7,93,1
Benfica,Wolfsburg,63,37,1
Atlanta,Leipzig,90,10,1
Benfica,Salzburg,34,66,3
Sevilla,Malmö,88,12,3
Salzburg,Liverpool,37,63,3
Chelsea,Milan,45,55,1
Bayern,Club Brugge,47,53,2
Juventus,Paris,83,17,1
Milan,Bensiktas,49,51,3
Man. United,Dynamo,6,94,2
Atlanta,Club Brugge,33,67,1
Barcelona,Bayern,5,95,1
Bensiktas,Liverpool,27,73,1
Man. United,Sheriff,60,40,2
Dortmund,Zenit,88,12,3
Atletico,Dortmund,5,95,2
Juventus,Shakhtar Donetsk,48,52,3
Dynamo,Shakhtar Donetsk,99,1,3
Villareal,Ajax,37,63,1
Villareal,Man. United,5,95,2
Malmö,Juventus,82,18,3
Villareal,Sevilla,62,38,1
Dortmund,Juventus,61,39,2
Leipzig,Juventus,44,56,1
Wolfsburg,Bayern,88,12,1
Atletico,Villareal,47,53,1
Club Brugge,Barcelona,10,90,2
Salzburg,Liverpool,78,22,1
